Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
barry-ran/QtScrcpy,27174,3331,3,UjhhgtgTeams/QtScrcpy;TangXiaoLin-CN/QtScrcpy-for-android-14;QtScrcpy/QtScrcpy,912,930,1,0.3333333333,0.75
bartobri/no-more-secrets,7719,311,0,,273,273,0,,0.511627907
basil00/WinDivert,2987,584,0,,297,297,0,,0.3684210526
baskerville/bspwm,8161,422,1,Javyre/bspwm,1509,1522,1,1,0.314159292
baskerville/sxhkd,2903,148,0,,198,198,0,,0.375
bb-qq/r8152,2771,223,1,BeatSkip/r8152,146,150,1,0,0.5
bblanchon/ArduinoJson,7083,1186,1,muratdemirtas/ARMeabiJson,2185,2268,1,0,0.1807228916
bdwgc/bdwgc,3368,422,1,Unity-Technologies/bdwgc,10644,11799,1,1,0.2868852459
beanstalkd/beanstalkd,6670,847,2,caidongyun/beanstalkd-win;gbarr/beanstalkd,862,955,1,0,0.6278195489
begeekmyfriend/leetcode,3164,857,0,,384,384,0,,0.5714285714
begeekmyfriend/yasea,4938,1330,0,,585,585,0,,0.6575342466
bellard/quickjs,9818,908,8,c-smile/quickjspp;openwebf/quickjs;suchipi/quickjs;binzume/esp32quickjs;theduke/slimjs;vincentdchan/quickjs;frida/quickjs;mtasic85/quickjs-workshop,427,1464,8,0.125,0.2268907563
betaflight/betaflight,10316,3357,11,wil3/neuroflight;joelucid/betaflight;howels/betaflight;spatzengr/betaflight;BrainFPV/betaflight;kc10kevin/betaflight;limonspb/betaflight;DLLarson/betaflight;rs2k/betaflight;spracing/betaflight;AaronBalint/betaflight_plan,25404,33987,11,0.6363636364,0.8216704289
bilibili/ijkplayer,33062,7954,9,debugly/ijkplayer;befovy/ijkplayer;bbcallen/ijkplayer;xia-chu/ijkplayer;dourgulf/ijkplayer;fly7632785/ijkplayer;poholo/ijkplayer;chfdeng/ijkplayer;tbago/ijkplayer,2653,3037,9,0.5555555556,0.152173913
binbyu/Reader,4654,606,0,,157,157,0,,0.75
bingoogolapple/BGAQRCode-Android,8017,1755,0,,177,177,0,,0.8235294118
bitcoin-core/secp256k1,2352,1067,6,sipa/secp256k1;llamasoft/secp256k1_fast_unsafe;libbitcoin/secp256k1;Quillor243/secp256k1;bancaditalia/secp256k1-frost;aergoio/secp256k1-vrf,2675,3511,5,0.5,0.7271966527
